time,XLE,XLB,XLI,XLY,XLP,XLV,XLF,XTL,XLU,XLK,XLRE
2006-08-30,36.223746433,22.4292199755,23.4578390565,26.4859292981,16.9113041514,25.1910237051,19.799095671,,19.7798950559,16.9567574367,
2006-08-31,35.9717439159,22.5354189337,23.5088660525,26.5666298748,16.9245679194,25.114455244,19.8227858842,,19.981027051,16.8929802578,
2006-09-01,36.5080569652,22.7902964335,23.6765261825,26.7845214321,17.0174142951,25.2446216279,19.8523986507,,19.9982669363,16.9647295841,
2006-09-05,36.9862155874,22.9248151139,23.7275531786,26.8652220089,16.9577273393,25.1297689362,19.9234692903,,19.7856416843,17.052423205,
2006-09-06,35.7326646048,22.641617892,23.4797077691,26.5343496441,16.9113041514,25.0378867829,19.858321204,,19.7109355148,16.7733980474,
2006-09-07,35.7649726198,22.3938203228,23.4213912021,26.6231202786,16.8516171956,24.8541224762,19.7043348183,,19.7396686569,16.6777322791,
2006-09-08,34.8603481995,22.4787794894,23.4651286273,26.8652220089,16.9378316873,25.0532004751,19.8168633309,,19.7396686569,16.8132587842,
2006-09-11,33.781260498,21.8769853928,23.4869973399,27.0750435085,17.063837483,25.2139942434,19.8287084375,,19.6707091157,16.9567574367,
2006-09-12,33.5680275989,22.1318628925,23.705684466,27.7045080074,17.0704693669,25.5049543956,20.0833782293,,19.567269804,17.2517268891,
2006-09-13,34.2658807232,22.2876213646,23.9462403047,27.8174888149,16.9444635713,25.4513564729,20.2314420617,,19.607496203,17.2517268891,
2006-09-14,33.5034115689,22.2168220591,23.8368967416,27.688367892,16.9444635713,25.3288469351,20.1603714221,,19.527043405,17.2517268891,
2006-09-15,33.6175751708,22.1976779269,23.9591938721,27.8627214881,17.0495059817,25.4614941371,20.3402985913,,19.5341347445,17.3342625307,
2006-09-18,34.4280278026,22.4682944688,24.0177559103,27.7171820259,16.9828542773,25.4538111274,20.316473937,,19.476204333,17.3262743913,
2006-09-19,33.9093381182,22.183434951,23.9225925983,27.7737807057,17.0228452999,25.4922261759,20.3522109184,,19.516755621,17.2463929971,
2006-09-20,33.0016311705,22.3757151255,24.0543571842,27.9759188476,17.1228228565,25.592105302,20.4892026805,,19.4877904153,17.5259778767,
2006-09-21,33.4230665391,22.176313463,23.8274292862,27.8222938598,16.9695239364,25.4307620983,20.3462547549,,19.4588252096,17.3582269489,
2006-09-22,33.2804268759,22.1549489992,23.7103052098,27.7980372827,16.9828542773,25.2694188947,20.3819917363,,19.435653045,17.2543811365,
2006-09-25,33.3258122233,22.2760142943,23.995795146,28.2265701437,16.8762115503,25.3692980207,20.5904574612,,19.7079259789,17.5659185737,
2006-09-26,34.0584614025,22.7175465469,24.2959255917,28.469135914,16.8962070616,25.3923470498,20.7036245691,,19.6789607731,17.6777525255,
2006-09-27,34.6225364343,22.6676961313,24.3544876299,28.42062276,17.0028497886,25.4614941371,20.6083259519,,19.951233707,17.5419541555,
2006-09-28,34.5123148764,22.7317895228,24.5228534896,28.4125372343,16.962858766,25.4153960789,20.6797999148,,19.8875102544,17.6298236891,
2006-09-29,34.6549545396,22.5323878603,24.4057294133,28.2589122464,16.9162025729,25.4999091856,20.6202382791,,19.6905468554,17.5739067131,
2006-10-02,34.2594536552,22.575116788,24.478931961,28.3235964518,16.8028946755,25.3539320013,20.5725889705,,19.8353728841,17.4460964825,
2006-10-03,33.0016311705,22.2760142943,24.6326573112,28.5661622222,16.8228901868,25.4307620983,20.7750985319,,19.9164754601,17.5419541555,
2006-10-04,33.4879027497,22.311621734,24.9986700499,28.9785240318,17.0028497886,25.6535693795,21.0252574018,,19.9975780362,17.8135508956,
2006-10-05,34.1297812341,22.6676961313,25.123114381,29.0593792886,16.9361980842,25.6535693795,21.0133450747,,19.9338545836,17.8055627562,
2006-10-06,34.1621993394,22.7745184505,25.0718725976,29.0027806088,16.8428856981,25.5536902535,20.9418711119,,19.8237868018,17.8135508956,
2006-10-09,33.649993276,22.9596771371,25.1011536167,29.2049187508,16.902872232,25.4999091856,21.0014327476,,19.8064076783,17.8614797321,
2006-10-10,34.2789045184,23.0664994563,25.1377548906,29.3828003157,16.8428856981,25.3923470498,21.0014327476,,19.951233707,17.8774560109,
2006-10-11,33.7342803497,22.8599763058,25.1450751453,29.3100305846,16.8695463798,25.3846640401,20.9478272754,,19.9975780362,17.8694678715,
2006-10-12,34.5252821185,23.094985408,25.3573625338,29.6981358172,16.8962070616,25.5383242341,21.0550382197,,19.991784995,18.1330764722,
2006-10-13,34.9985864555,23.3228730223,25.2988004956,29.6172805604,16.8628812094,25.4538111274,21.1384245097,,20.0149571596,18.2209460058,
2006-10-16,35.8220063295,23.493788733,25.4671663554,29.5930239833,16.8895418912,25.4922261759,21.0252574018,,20.1134388591,18.2129578664,
2006-10-17,35.4329890662,23.3299945103,25.3280815147,29.4879121495,16.856216039,25.5613732632,21.0252574018,,20.2003344763,18.0611832175,
2006-10-18,35.2060623293,23.2445366549,25.2621992217,29.5121687266,16.9228677434,25.8379616123,21.0848190375,,20.4204700398,18.013254381,
2006-10-19,35.9322278874,23.4012093897,25.2036371835,29.4959976752,16.962858766,25.8149125832,20.9478272754,,20.5015726159,18.0691713569,
2006-10-20,35.4654071715,23.2730226067,25.0938333619,29.4555700468,17.0228452999,26.0146708353,20.9240026211,,20.6290195211,18.1810053087,
2006-10-23,35.530243382,23.4225738536,25.2255979478,29.8436752794,17.1894745609,26.0838179226,21.0609943833,,20.6521916857,18.2928392605,
2006-10-24,36.1786054875,23.6931903955,25.2402384574,29.9568726389,17.1361531974,25.9993048159,21.0550382197,,20.6695708091,18.1650290299,
2006-10-25,36.8010331088,23.6718259317,25.2621992217,29.8517608051,17.2494610948,25.845644622,21.1443806732,,20.8897063727,18.3247918182,
2006-10-26,36.7167460351,23.7216763473,25.2548789669,30.2641226147,17.3627689923,25.945523748,21.2932847625,,20.7970177143,18.4206494911,
2006-10-27,36.4184994666,23.7786482508,25.0718725976,29.9649581646,17.3027824583,25.8379616123,21.1324683461,,20.7217081794,18.1810053087,
2006-10-30,35.76365374,23.8427416423,25.1523954001,30.1509252552,17.2294655835,25.691984428,21.1384245097,,20.7101220971,18.244910424,
2006-10-31,36.1332201401,23.88547057,25.0938333619,30.0862410497,17.2161352426,25.5844222923,21.1026875282,,20.7332942617,18.2848511211,
2006-11-01,35.76365374,23.7003118834,24.9693890308,29.8517608051,17.0828318339,25.4000300595,20.9716519297,,20.8607411669,18.1889934481,
